2020 Ballot Measure Number 2 Implementation: numbers sum: 804, cell: 803.600000
1002 Federal Receipts: numbers sum: 52000, cell: 21000.000000
1003 General Fund Match: numbers sum: 60, cell: 60.000000
1004 General Fund Receipts: numbers sum: 1000, cell: 1000.000000
1004 General Fund Receipts: numbers sum: 1250, cell: 250.000000
1004 General Fund Receipts: numbers sum: 1350, cell: 100.000000
1004 General Fund Receipts: numbers sum: 3850, cell: 2500.000000
1004 General Fund Receipts: numbers sum: 3875, cell: 25.000000
1005 General Fund/Program Receipts: numbers sum: 100, cell: 100.000000
1063 National Petroleum Reserve Fund: numbers sum: 9100, cell: 9100.000000
1140 AIDEA Dividend: numbers sum: 5500, cell: 5500.000000
1140 AIDEA Dividend: numbers sum: 10500, cell: 5000.000000
Commerce: numbers sum: 6000, cell: 6000.000000
Commerce: numbers sum: 6060, cell: 60.000000
Commerce: numbers sum: 15160, cell: 9100.000000
Commerce: numbers sum: 16160, cell: 1000.000000
Commerce: numbers sum: 16410, cell: 250.000000
Commerce: numbers sum: 23910, cell: 7500.000000
Commerce: numbers sum: 29410, cell: 5500.000000
Commerce: numbers sum: 34410, cell: 5000.000000
Commerce: numbers sum: 46910, cell: 12500.000000
Commerce: numbers sum: 51910, cell: 5000.000000
Commerce: numbers sum: 72910, cell: 21000.000000
Commerce: numbers sum: 73010, cell: 100.000000
Commerce: numbers sum: 73110, cell: 100.000000
Commerce: numbers sum: 75610, cell: 2500.000000
Commerce: numbers sum: 75635, cell: 25.000000
Commerce: numbers sum: 6000, cell: 6000.000000
Commerce: numbers sum: 6060, cell: 60.000000
Commerce: numbers sum: 15160, cell: 9100.000000
Commerce: numbers sum: 16160, cell: 1000.000000
Commerce: numbers sum: 16410, cell: 250.000000
Commerce: numbers sum: 23910, cell: 7500.000000
Commerce: numbers sum: 29410, cell: 5500.000000
Commerce: numbers sum: 34410, cell: 5000.000000
Commerce: numbers sum: 46910, cell: 12500.000000
Commerce: numbers sum: 51910, cell: 5000.000000
Commerce: numbers sum: 72910, cell: 21000.000000
Commerce: numbers sum: 73010, cell: 100.000000
Commerce: numbers sum: 73110, cell: 100.000000
Commerce: numbers sum: 75610, cell: 2500.000000
Commerce: numbers sum: 75635, cell: 25.000000
Joint Base Elmendorf Richardson (JBER) Digital Control, Generator, and Preventative Maintenance: numbers sum: 4038, cell: 4037.500000
Kotzebue Tarmac Repair and Maintenance : numbers sum: 388, cell: 387.500000
Kotzebue Tarmac Repair and Maintenance : numbers sum: 5201, cell: 4812.500000
Mass Notification System - Joint Base Elmendorf Richardson (JBER): numbers sum: 2500, cell: 2500.000000
Mass Notification System - Joint Base Elmendorf Richardson (JBER): numbers sum: 5000, cell: 2500.000000
State Homeland Security Grant Programs: numbers sum: 7500, cell: 7500.000000
1002 Federal Receipts: numbers sum: 7500, cell: 7500.000000
1002 Federal Receipts: numbers sum: 10000, cell: 2500.000000
1002 Federal Receipts: numbers sum: 14038, cell: 4037.500000
1002 Federal Receipts: numbers sum: 14426, cell: 387.500000
1003 General Fund Match: numbers sum: 2500, cell: 2500.000000
1004 General Fund Receipts: numbers sum: 4813, cell: 4812.500000
Military & Veterans Affairs: numbers sum: 7500, cell: 7500.000000
Military & Veterans Affairs: numbers sum: 10000, cell: 2500.000000
Military & Veterans Affairs: numbers sum: 12500, cell: 2500.000000
Military & Veterans Affairs: numbers sum: 16538, cell: 4037.500000
Military & Veterans Affairs: numbers sum: 16926, cell: 387.500000
Military & Veterans Affairs: numbers sum: 21739, cell: 4812.500000
Military & Veterans Affairs: numbers sum: 7500, cell: 7500.000000
Military & Veterans Affairs: numbers sum: 10000, cell: 2500.000000
Military & Veterans Affairs: numbers sum: 12500, cell: 2500.000000
Military & Veterans Affairs: numbers sum: 16538, cell: 4037.500000
Military & Veterans Affairs: numbers sum: 16926, cell: 387.500000
Military & Veterans Affairs: numbers sum: 21739, cell: 4812.500000
Abandoned Mine Lands Reclamation Federal Program: numbers sum: 3200, cell: 3200.000000
Agriculture Specialty Crop Block Grant: numbers sum: 4500, cell: 4500.000000
Cooperative Water Resource Program Pass-through to USGS for Stream Gaging Projects: numbers sum: 300, cell: 300.000000
Critical Information Database and Dashboard: numbers sum: 600, cell: 600.000000
Critical Information Database and Dashboard: numbers sum: 800, cell: 200.000000
Critical Minerals Mapping - Earth MRI (3DEEP): numbers sum: 1500, cell: 1500.000000
Critical Minerals Mapping - Earth MRI (3DEEP): numbers sum: 2000, cell: 500.000000
Critical Minerals Mapping - Earth MRI (3DEEP): numbers sum: 2200, cell: 200.000000
Dam Safety Industry Projects Application Review: numbers sum: 400, cell: 400.000000
EVOS Eagle Rock (Bookey Parcel) Improvements: numbers sum: 6419, cell: 6419.010000
EVOS Kenai River Bookey Parcel Purchase: numbers sum: 2300, cell: 2300.000000
Federal and Local Government Funded Forest Resource and Fire Program: numbers sum: 7000, cell: 7000.000000
Geological Mapping for Energy Development (USGS STATEMAP): numbers sum: 600, cell: 600.000000
