REPORT_SORT
1
2
3
4
5
6
7
8
1001
1002
1004
10000
1
2
3
4
5
6
7
8
1001
1004
10000
12000
1
2
3
4
5
6
7
8
1001
1004
10000
1
2
3
4
5
6
7
8
1001
1004
1
2
3
4
5
6
7
8
1001
1004
10000
1
2
3
4
5
6
7
8
1001
1004
1
2
3
4
5
6
7
8
1001
1004
1
2
3
4
5
6
7
8
1001
1004
1007
10000
12000
1
2
3
4
5
6
7
8
1001
1004
1185
10000
12000




























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































